hname/C:sname/C:id0/I:id1/I:id2/I:first/D:stampSec/D:mi.fMemUsed/D:mi.fSwapUsed/D:cI.fUser/D:cI.fSys/D:pI.fMemResident/D:pI.fMemVirtual/D:pI.fCpuUser/D:pI.fCpuSys/D:stampOldSec/D:miOld.fMemUsed/D:miOld.fSwapUsed/D:cIOld.fUser/D:cIOld.fSys/D:pIOld.fMemResident/D:pIOld.fMemVirtual/D:pIOld.fCpuUser/D:pIOld.fCpuSys/D:fileBytesRead/D:fileBytesWritten/D:fileCounter/D:fileReadCalls/D
marvin	Start_Run	-1	-1	-1	1320836792.02387	1320836792.02387	7357	26	0	0	138.60546875	490.50390625	0.319999992847443	0.0599999986588955	1320836792.03497	0	0	0	0	0	0	0	0	0	0	0	0	
marvin	ProcessEnvironmentVars	-1	-1	-1	1320836792.02387	1320836792.03519	7357	26	0	0	138.65625	490.50390625	0.319999992847443	0.0599999986588955	1320836792.02387	7357	26	0	0	138.60546875	490.50390625	0.319999992847443	0.0599999986588955	0	0	0	0	
marvin	RunSimulation_Begin	-1	-1	-1	1320836792.02387	1320836792.04642	7357	26	0	0	138.66015625	490.50390625	0.319999992847443	0.0599999986588955	1320836792.03519	7357	26	0	0	138.65625	490.50390625	0.319999992847443	0.0599999986588955	0	0	0	0	
marvin	RunSimulation_InitCDB	-1	-1	-1	1320836792.02387	1320836792.10332	7359	26	0	0	139.87109375	491.58203125	0.349999994039536	0.0599999986588955	1320836792.04642	7357	26	0	0	138.66015625	490.50390625	0.319999992847443	0.0599999986588955	0	0	0	0	
marvin	RunSimulation_SetCDBLock	-1	-1	-1	1320836792.02387	1320836792.1144	7359	26	9.09090900421143	9.09090900421143	139.875	491.58203125	0.349999994039536	0.0599999986588955	1320836792.10332	7359	26	0	0	139.87109375	491.58203125	0.349999994039536	0.0599999986588955	0	0	0	0	
marvin	RunSimulation_Config	-1	-1	-1	1320836792.02387	1320836792.67108	7370	26	16.6666660308838	0	153.84375	798.5	0.579999983310699	0.109999999403954	1320836792.1144	7359	26	9.09090900421143	9.09090900421143	139.875	491.58203125	0.349999994039536	0.0599999986588955	3151049	181	2	4	
marvin	RunSimulation_GetField	-1	-1	-1	1320836792.02387	1320836792.68755	7370	26	0	0	154.5625	799.14453125	0.589999973773956	0.109999999403954	1320836792.67108	7370	26	16.6666660308838	0	153.84375	798.5	0.579999983310699	0.109999999403954	3151049	181	2	4	
marvin	RunSimulation_InitMCApp	-1	-1	-1	1320836792.02387	1320836793.23836	7400	26	0	0	184.90625	828.734375	0.839999973773956	0.109999999403954	1320836792.68755	7370	26	0	0	154.5625	799.14453125	0.589999973773956	0.109999999403954	3157422	53740	3	14	
marvin	RunSimulation_InitLoaders	-1	-1	-1	1320836792.02387	1320836793.61891	7401	26	0	0	185.640625	828.734375	0.910000026226044	0.109999999403954	1320836793.23836	7400	26	0	0	184.90625	828.734375	0.839999973773956	0.109999999403954	3157422	58940	6	14	
marvin	RunSimulation_TriggerDescriptor	-1	-1	-1	1320836792.02387	1320836793.63002	7401	26	0	12.5	185.640625	828.734375	0.910000026226044	0.109999999403954	1320836793.61891	7401	26	0	0	185.640625	828.734375	0.910000026226044	0.109999999403954	3157422	58940	6	14	
marvin	RunSimulation_WriteGRP	-1	-1	-1	1320836792.02387	1320836794.09736	7418	26	12.5	0	186.95703125	829.4375	1.00999999046326	0.109999999403954	1320836793.63002	7401	26	0	12.5	185.640625	828.734375	0.910000026226044	0.109999999403954	3157422	66568	6	14	
marvin	Start_ProcessRun	-1	-1	-1	1320836792.02387	1320836794.10863	7419	26	14.2857141494751	0	186.95703125	829.4375	1.00999999046326	0.109999999403954	1320836794.09736	7418	26	12.5	0	186.95703125	829.4375	1.00999999046326	0.109999999403954	3157422	66568	6	14	
marvin	Stop_ProcessRun	-1	-1	-1	1320836792.02387	1320837071.60282	7734	26	0	0	190.37109375	832.55078125	7.34999990463257	1.03999996185303	1320836794.10863	7419	26	14.2857141494751	0	186.95703125	829.4375	1.00999999046326	0.109999999403954	3157422	2971972	9	14	
marvin	RunSimulation	-1	-1	-1	1320836792.02387	1320837104.98561	7716	26	0	0	190.50390625	832.55078125	7.3899998664856	1.05999994277954	1320837071.60282	7734	26	0	0	190.37109375	832.55078125	7.34999990463257	1.03999996185303	3157422	3071268	9	14	
marvin	InitCDB	-1	-1	-1	1320836792.02387	1320837104.9968	7716	26	0	0	190.50390625	832.55078125	7.3899998664856	1.05999994277954	1320837104.98561	7716	26	0	0	190.50390625	832.55078125	7.3899998664856	1.05999994277954	3157422	3071268	9	14	
marvin	MissalignGeometry	-1	-1	-1	1320836792.02387	1320837105.00968	7716	26	0	0	190.53125	832.55078125	7.3899998664856	1.05999994277954	1320837104.9968	7716	26	0	0	190.50390625	832.55078125	7.3899998664856	1.05999994277954	3173245	3071268	10	21	
marvin	Start_sdigitization	-1	-1	-1	1320836792.02387	1320837105.02055	7716	26	0	0	190.53125	832.55078125	7.3899998664856	1.05999994277954	1320837105.00968	7716	26	0	0	190.53125	832.55078125	7.3899998664856	1.05999994277954	3173245	3071268	10	21	
marvin	Digit_PHOS_0	0	1	0	1320836792.02387	1320837195.24931	7763	26	0	0	190.60546875	832.55078125	7.88000011444092	1.12000000476837	1320837105.02055	7716	26	0	0	190.53125	832.55078125	7.3899998664856	1.05999994277954	4325581	3958736	15	5241	
